name,stars,review_count,price,score,poi,cityname,address
luckin coffee瑞幸咖啡,40,359,￥22/人,口味:8.2 环境:8.5 服务:8.6,"{""lat"": 121.443337, ""lng"": 31.279693}",上海市,广中西路555号宝华国际广场一层101室
luckin coffee瑞幸咖啡,40,178,￥22/人,口味:7.9 环境:7.8 服务:8.2,"{""lat"": 121.443871, ""lng"": 31.230214}",上海市,武定路969号华祺大厦一层大堂吧台3、4号
luckin coffee瑞幸咖啡,40,64,￥23/人,口味:8.0 环境:8.1 服务:8.1,"{""lat"": 121.458957, ""lng"": 31.293694}",上海市,汶水路40号宏慧BOX一号库7号楼一层008A室
luckin coffee瑞幸咖啡,40,51,￥27/人,口味:8.4 环境:8.0 服务:8.2,"{""lat"": 121.443263, ""lng"": 31.239648}",上海市,安远路305号上海创展大厦一层底商
luckin coffee瑞幸咖啡,40,242,￥23/人,口味:7.8 环境:7.7 服务:7.8,"{""lat"": 121.46666, ""lng"": 31.227088255701968}",上海市,成都北路189号恒利国际大厦一层大堂
luckin coffee瑞幸咖啡,40,47,￥21/人,口味:8.0 环境:8.0 服务:8.4,"{""lat"": 121.44569, ""lng"": 31.282871056607963}",上海市,灵石路658号大宁财智中心一层大堂
luckin coffee瑞幸咖啡,0,57,,,"{""lat"": 121.453628, ""lng"": 31.252017}",上海市,中兴路1666号
luckin coffee瑞幸咖啡,40,42,￥27/人,口味:8.0 环境:8.1 服务:8.1,"{""lat"": 121.446172, ""lng"": 31.289252}",上海市,永和路118弄43号东方环球中心一层102室
luckin coffee瑞幸咖啡,40,62,￥21/人,口味:7.7 环境:7.6 服务:7.9,"{""lat"": 121.456832, ""lng"": 31.224905}",上海市,陕西北路66号科恩国际中心一层大堂
瑞幸咖啡luckincoffee,40,102,￥22/人,口味:8.4 环境:8.2 服务:8.1,"{""lat"": 121.40295, ""lng"": 31.21079}",上海市,天山路789号百盛优客城市广场五层E02室
luckin coffee瑞幸咖啡,40,36,￥22/人,口味:8.0 环境:8.1 服务:8.0,"{""lat"": 121.464374, ""lng"": 31.244899}",上海市,天目中路585号新梅大厦一层101室
luckin coffee瑞幸咖啡,40,122,￥19/人,口味:7.8 环境:8.0 服务:8.0,"{""lat"": 121.418626, ""lng"": 31.219187}",上海市,长宁路890号玫瑰坊商场一层F10室
luckin coffee瑞幸咖啡,40,22,￥19/人,口味:7.5 环境:7.5 服务:8.0,"{""lat"": 121.454618, ""lng"": 31.226942}",上海市,南京西路1213弄15号米域MIXPACE恒泰一层
瑞幸咖啡luckincoffee,40,135,￥22/人,口味:7.9 环境:7.9 服务:8.0,"{""lat"": 121.408379, ""lng"": 31.209421}",上海市,天山路1717号SOHO天山广场中庭101-102号
luckin coffee瑞幸咖啡,40,100,￥23/人,口味:8.1 环境:8.2 服务:8.3,"{""lat"": 121.352725, ""lng"": 31.2219}",上海市,金钟路968号凌空SOHO9号楼负一层C09、C10号
luckin coffee瑞幸咖啡,40,87,￥21/人,口味:8.3 环境:8.2 服务:8.5,"{""lat"": 121.471655, ""lng"": 31.243815218135733}",上海市,西藏北路166号静安大悦城北负一层NB112号
luckin coffee瑞幸咖啡,40,138,￥21/人,口味:8.2 环境:8.2 服务:8.3,"{""lat"": 121.430932, ""lng"": 31.211585}",上海市,延安西路1088号长峰中心一层101室
瑞幸咖啡,40,22,￥24/人,口味:8.1 环境:8.0 服务:8.1,"{""lat"": 121.466043, ""lng"": 31.240076}",上海市,新桥路68号新桥大厦店一层102室
luckin coffee瑞幸咖啡,40,38,￥22/人,口味:7.8 环境:7.8 服务:7.9,"{""lat"": 121.392813, ""lng"": 31.200812}",上海市,虹桥路1665号星空广场一层B-114室
luckin coffee瑞幸咖啡,35,27,￥23/人,口味:7.7 环境:7.4 服务:7.7,"{""lat"": 121.4143, ""lng"": 31.199586}",上海市,中山西路999号华闻国际大厦一楼大堂
luckin coffee瑞幸咖啡,40,51,￥19/人,口味:8.3 环境:8.5 服务:8.4,"{""lat"": 121.416882, ""lng"": 31.210227}",上海市,轨道交通三号线延安西路地铁站1号口
luckin coffee瑞幸咖啡,0,0,,,"{""lat"": 121.415041, ""lng"": 31.198543}",上海市,中山西路1055号A座2楼
luckin coffee瑞幸咖啡,40,29,￥20/人,口味:7.8 环境:7.9 服务:8.0,"{""lat"": 121.383048, ""lng"": 31.210943}",上海市,茅台路876号光华大厦一层A1室
luckin coffee瑞幸咖啡,40,22,￥21/人,口味:7.9 环境:7.4 服务:7.9,"{""lat"": 121.408327, ""lng"": 31.204026706696332}",上海市,延安西路2067号仲盛金融中心大厦一层03号
luckin coffee瑞幸咖啡,35,21,￥23/人,口味:7.5 环境:7.6 服务:7.6,"{""lat"": 121.405668, ""lng"": 31.185605}",上海市,吴中路478号云峰大厦1层102室
瑞幸咖啡,0,0,,,"{""lat"": 121.454455, ""lng"": 31.230276}",上海市,北京西路1068号
luckin coffee瑞幸咖啡,40,42,￥24/人,口味:8.1 环境:8.0 服务:8.1,"{""lat"": 121.44715, ""lng"": 31.298759}",上海市,江场西路160号美邦大楼一层101-20室
luckin coffee瑞幸咖啡,35,61,￥30/人,口味:7.3 环境:7.2 服务:7.3,"{""lat"": 121.458024, ""lng"": 31.252109553990245}",上海市,中兴路新理想大厦B1层嘉食荟美食广场03号
luckin coffee瑞幸咖啡,40,73,￥25/人,口味:8.4 环境:8.1 服务:8.4,"{""lat"": 121.508369, ""lng"": 31.297454}",上海市,邯郸路365号颐高数码广场一层
luckin coffee瑞幸咖啡,40,36,￥16/人,口味:7.7 环境:7.5 服务:7.8,"{""lat"": 121.513496, ""lng"": 31.254581}",上海市,保定路23号
luckincoffee瑞幸咖啡,40,292,￥25/人,口味:8.3 环境:8.3 服务:8.4,"{""lat"": 121.519084, ""lng"": 31.291015}",上海市,黄兴路1737号九隆坊生活广场一层140室
luckin coffee瑞幸咖啡,40,49,￥22/人,口味:8.0 环境:8.0 服务:8.2,"{""lat"": 121.524731, ""lng"": 31.263146}",上海市,长阳路1080号国际设计中心8号楼一层101室
luckin coffee瑞幸咖啡,45,142,￥24/人,口味:8.4 环境:8.4 服务:8.3,"{""lat"": 121.432329, ""lng"": 31.168953}",上海市,漕宝路33号日月光购物中心B座一层26-27室
luckin coffee瑞幸咖啡,40,129,￥23/人,口味:8.3 环境:8.3 服务:8.4,"{""lat"": 121.441099, ""lng"": 31.185788}",上海市,斜土路2899号光启文化广场B座一层大堂
luckincoffee瑞幸咖啡,40,119,￥21/人,口味:8.3 环境:8.0 服务:8.5,"{""lat"": 121.456304, ""lng"": 31.183555}",上海市,龙华中路759号绿地缤纷城负一层W-B122号
luckin coffee瑞幸咖啡,40,57,￥23/人,口味:8.1 环境:7.8 服务:8.4,"{""lat"": 121.438742, ""lng"": 31.195253}",上海市,衡山路922号建汇大厦负一层
luckin coffee瑞幸咖啡,40,38,￥30/人,口味:8.2 环境:8.1 服务:8.4,"{""lat"": 121.525211, ""lng"": 31.274155}",上海市,凤城路5号凤凰巷8号楼一层117室
luckin coffee瑞幸咖啡,35,29,￥22/人,口味:7.5 环境:7.4 服务:7.5,"{""lat"": 121.490349, ""lng"": 31.293745}",上海市,逸仙路9号上海钢铁交易大厦一层105室
瑞幸咖啡,40,30,￥22/人,口味:7.8 环境:8.0 服务:8.1,"{""lat"": 121.53329, ""lng"": 31.267885}",上海市,长阳路1568号四季广场5号楼一层102.103单元
luckin coffee瑞幸咖啡,40,59,￥17/人,口味:8.1 环境:8.0 服务:7.9,"{""lat"": 121.433408, ""lng"": 31.17421130664677}",上海市,田林东路55号汇阳广场一层大堂
luckin coffee瑞幸咖啡,40,40,￥23/人,口味:8.0 环境:8.1 服务:8.3,"{""lat"": 121.52018, ""lng"": 31.261214}",上海市,吉林路60号三九商务楼101-B室
luckin coffee瑞幸咖啡,40,24,,口味:8.0 环境:8.0 服务:8.0,"{""lat"": 121.550057, ""lng"": 31.274428}",上海市,贵阳路398号文通国际广场北一层大堂
luckin coffee瑞幸咖啡,35,59,￥22/人,口味:7.6 环境:7.6 服务:7.6,"{""lat"": 121.445805, ""lng"": 31.19556}",上海市,宛平南路75号建科大厦一层101室
luckincoffee瑞幸咖啡,40,138,￥22/人,口味:7.8 环境:7.7 服务:8.0,"{""lat"": 121.42347, ""lng"": 31.195914}",上海市,虹桥路777号汇京国际广场负一层美食城B1-18-2号
luckin coffee瑞幸咖啡,40,45,￥24/人,口味:7.8 环境:7.7 服务:7.9,"{""lat"": 121.398897, ""lng"": 31.16567360594351}",上海市,古美路1582号D楼负一层D-11号
luckin coffee瑞幸咖啡,35,14,,口味:7.7 环境:7.4 服务:7.7,"{""lat"": 121.518463, ""lng"": 31.288115}",上海市,国权路39号绿色米兰广场金座一层大堂
luckin coffee瑞幸咖啡,35,150,￥19/人,口味:7.6 环境:7.6 服务:7.7,"{""lat"": 121.447803, ""lng"": 31.198028}",上海市,肇嘉浜路807号五洲国际大厦一层大堂
luckincoffee瑞幸咖啡,40,72,￥21/人,口味:8.2 环境:8.1 服务:7.8,"{""lat"": 121.457965, ""lng"": 31.186566}",上海市,龙华中路598号正大乐城一层
瑞幸咖啡luckincoffee,40,88,￥22/人,口味:8.1 环境:8.4 服务:8.5,"{""lat"": 121.512848, ""lng"": 31.303914}",上海市,上海市杨浦区政民路20号
瑞幸咖啡,0,0,,,"{""lat"": 121.508794, ""lng"": 31.302786}",上海市,政民路20号
luckin coffee瑞幸咖啡,35,42,￥22/人,口味:7.5 环境:7.7 服务:7.6,"{""lat"": 121.414072, ""lng"": 31.173182}",上海市,宜山路717号华鑫中心一层1018、1022室
luckin coffee瑞幸咖啡,40,32,￥19/人,口味:8.3 环境:7.9 服务:8.1,"{""lat"": 121.425629, ""lng"": 31.181915}",上海市,宜山路508号景鸿大楼一层大堂
luckin coffee瑞幸咖啡,35,34,￥25/人,口味:7.7 环境:8.0 服务:7.9,"{""lat"": 121.424404, ""lng"": 31.183524}",上海市,中山西路1800号兆丰环球大厦一层大堂
luckin coffee瑞幸咖啡,0,7,,,"{""lat"": 121.450578, ""lng"": 31.168591}",上海市,龙华街道清祥路清湖工业园宝能科技园7栋一层大堂
luckin coffee瑞幸咖啡,35,22,￥25/人,口味:7.6 环境:7.5 服务:7.6,"{""lat"": 121.423275, ""lng"": 31.187364}",上海市,中山西路1515号大众大厦1幢一层102室
