name,stars,review_count,price,score,poi,cityname,address,,,,
星巴克虹桥机场T2到达店,40,344,￥40/人,口味:8.2 环境:7.8 服务:7.9,"{""lat"": 121.327224, ""lng"": 31.193611}",上海市,虹桥国际机场2号航站楼禁区外到达公众区0L-1号商铺,,,,
星巴克,35,296,￥40/人,口味:7.9 环境:7.7 服务:7.4,"{""lat"": 121.415979, ""lng"": 31.21811}",上海市,长宁路凯旋路交叉口来福士广场东区624/625,,,,
星巴克,40,434,￥47/人,口味:8.4 环境:8.6 服务:8.2,"{""lat"": 121.472125, ""lng"": 31.244002}",上海市,西藏北路166号静安大悦城北楼8层,,,,
星巴克,35,1332,￥38/人,口味:7.7 环境:7.3 服务:7.4,"{""lat"": 121.416917, ""lng"": 31.218728}",上海市,长宁路1018号龙之梦购物中心1层1073号商铺,,,,
星巴克,35,98,￥44/人,口味:7.7 环境:8.0 服务:7.5,"{""lat"": 121.435729, ""lng"": 31.21659}",上海市,延安西路562号1楼,,,,
星巴克,40,668,￥38/人,口味:8.4 环境:8.3 服务:8.1,"{""lat"": 121.446695, ""lng"": 31.225528}",上海市,愚园路68号L1层11室，L2层09A室,,,,
星巴克,40,482,￥47/人,口味:8.3 环境:8.5 服务:8.3,"{""lat"": 121.45015, ""lng"": 31.224423}",上海市,南京西路1515号静安嘉里中心东区1层03号,,,,
星巴克,40,1243,￥39/人,口味:7.9 环境:7.9 服务:7.7,"{""lat"": 121.471965, ""lng"": 31.242924}",上海市,西藏北路166号大悦城南区3层,,,,
星巴克,40,209,￥34/人,口味:8.2 环境:8.3 服务:8.1,"{""lat"": 121.373529, ""lng"": 31.216988}",上海市,天山西路138号1楼35室,,,,
星巴克,40,1171,￥36/人,口味:7.5 环境:7.3 服务:7.3,"{""lat"": 121.417847, ""lng"": 31.218017}",上海市,长宁路999号1F,,,,
星巴克,35,204,￥35/人,口味:7.6 环境:7.5 服务:7.5,"{""lat"": 121.403053, ""lng"": 31.198055}",上海市,虹桥路1438号,,,,
星巴克,45,258,￥40/人,口味:8.4 环境:8.7 服务:8.4,"{""lat"": 121.35094, ""lng"": 31.22156}",上海市,金钟路968号凌空soho16号楼一层商铺16-101,,,,
星巴克,40,323,￥40/人,口味:8.2 环境:8.2 服务:7.9,"{""lat"": 121.360449, ""lng"": 31.219222}",上海市,天山西路568号1幢105-106,,,,
星巴克,40,491,￥40/人,口味:8.2 环境:7.8 服务:7.7,"{""lat"": 121.445647, ""lng"": 31.224095}",上海市,南京西路1618号1层S103室,,,,
星巴克,40,819,￥42/人,口味:7.5 环境:7.5 服务:7.3,"{""lat"": 121.455386, ""lng"": 31.228021}",上海市,南京西路1168号中信泰富广场地下1楼,,,,
星巴克,40,1210,￥53/人,口味:7.9 环境:7.7 服务:7.6,"{""lat"": 121.46127, ""lng"": 31.230126}",上海市,吴江路128号,,,,
星巴克臻选,45,385,￥49/人,口味:7.9 环境:7.9 服务:8.1,"{""lat"": 121.451607, ""lng"": 31.226808}",上海市,南京西路1376号上海商城一楼,,,,
星巴克,40,326,￥45/人,口味:7.8 环境:7.9 服务:7.8,"{""lat"": 121.39447, ""lng"": 31.1938}",上海市,水城南路20号,,,,
星巴克,40,2500,￥41/人,口味:7.5 环境:7.4 服务:7.3,"{""lat"": 121.453114, ""lng"": 31.274196}",上海市,共和新路1898号大宁国际商业广场5（E3）栋114-117室,,,,
星巴克,40,446,￥38/人,口味:8.1 环境:8.1 服务:7.9,"{""lat"": 121.387259, ""lng"": 31.21436}",上海市,天山路341号缤谷文化休闲广场东区3层,,,,
星巴克,40,147,￥37/人,口味:8.1 环境:7.7 服务:8.2,"{""lat"": 121.415327, ""lng"": 31.198037}",上海市,中山西路1065号104室,,,,
星巴克,40,237,￥38/人,口味:8.3 环境:8.1 服务:8.1,"{""lat"": 121.403893, ""lng"": 31.210384}",上海市,天山路789-889号百盛优客城市广场东楼1层1E04号,,,,
星巴克,35,770,￥38/人,口味:7.6 环境:7.6 服务:7.4,"{""lat"": 121.430909, ""lng"": 31.218976}",上海市,江苏路458号1层116室,,,,
星巴克,40,739,￥40/人,口味:7.8 环境:7.8 服务:7.7,"{""lat"": 121.370495, ""lng"": 31.209062}",上海市,仙霞西路88号,,,,
星巴克,40,294,￥44/人,口味:8.4 环境:8.5 服务:8.2,"{""lat"": 121.436632, ""lng"": 31.293698}",上海市,江场三路238号1层,,,,
星巴克臻选,40,395,￥52/人,口味:7.9 环境:8.0 服务:8.0,"{""lat"": 121.463512, ""lng"": 31.226873}",上海市,威海路433号,,,,
